poi_id,name,province,city,district,address,official_category,source_official,source_blog,content_type,exploration_level,social_density,structure_level,needs_manual_check
12,上海动物园,上海市,上海市,长宁区,长宁区虹桥路 2381 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
13,上海世纪公园,上海市,上海市,浦东新区,浦东新区锦绣路 1001 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
14,上海大观园,上海市,上海市,青浦区,青浦区青商路 701 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
15,上海共青森林公园,上海市,上海市,杨浦区,杨浦区军工路 2000 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
16,朱家角古镇,上海市,上海市,青浦区,青浦区朱家角镇内,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
17,上海古猗园,上海市,上海市,嘉定区,嘉定区沪宜公路 218 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
18,上海方塔园,上海市,上海市,松江区,松江区中山东路 235 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
19,上海市青少年校外活动营地 - 东方绿舟,上海市,上海市,青浦区,青浦区沪青平公路 6888 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
20,枫泾古镇,上海市,上海市,金山区,金山区亭枫公路 8588 弄 28 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
21,锦江乐园,上海市,上海市,闵行区,闵行区虹梅路 201 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
22,金山城市沙滩景区,上海市,上海市,金山区,金山区沪杭公路 7555 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
23,碧海金沙景区,上海市,上海市,奉贤区,奉贤区海湾旅游区海涵路 6 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
24,上海海洋水族馆,上海市,上海市,浦东新区,浦东新区陆家嘴环路 1388 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
25,上海鲜花港,上海市,上海市,浦东新区,浦东新区东海农场振东路 2 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
26,上海月湖雕塑公园,上海市,上海市,松江区,松江区佘山度假区林荫新路 1158 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
27,上海嘉定州桥,上海市,上海市,嘉定区,嘉定区嘉定镇街道城中街 40 弄 1,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
28,上海都市菜园景区,上海市,上海市,奉贤区,奉贤区海湾镇海兴路 888 弄,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
29,上海长风公园·长风海洋世界景区,上海市,上海市,普陀区,普陀区大渡河路 189 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
30,上海海上花岛前卫村景区,上海市,上海市,崇明区,崇明区竖新镇前卫村,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
31,上海海湾国家森林公园,上海市,上海市,奉贤区,奉贤区海湾镇随塘河路 1677 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
32,中国航海博物馆,上海市,上海市,浦东新区,浦东新区临港新城申港大道 197 号,4A 级景区,TRUE,FALSE,history_culture,semi-known,low-social,highly-structured,FALSE
33,上海欢乐谷,上海市,上海市,松江区,松江区佘山林湖路 888 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
34,上海植物园,上海市,上海市,徐汇区,徐汇区龙吴路 1111 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
35,上海南翔景区,上海市,上海市,嘉定区,嘉定区南翔镇解放街 206 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
36,上海宋庆龄故居纪念馆,上海市,上海市,徐汇区,徐汇区淮海中路 1843 号,4A 级景区,TRUE,FALSE,history_culture,semi-known,low-social,highly-structured,FALSE
37,上海东林寺景区,上海市,上海市,金山区,金山区朱泾镇东林街 150 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
38,上海顾村公园景区,上海市,上海市,宝山区,宝山区沪太路 4788 号环岛路 1 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
39,上海徐家汇源景区,上海市,上海市,徐汇区,徐汇区漕溪北路 90 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
40,上海辰山植物园,上海市,上海市,松江区,松江区辰花公路 3888 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
41,上海炮台湾景区,上海市,上海市,宝山区,宝山区塘后路 206 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
42,上海宝山国际民间艺术博览馆景区,上海市,上海市,宝山区,宝山区沪太路 4788 号,4A 级景区,TRUE,FALSE,art_design,semi-known,mixed,highly-structured,FALSE
43,上海汽车博览公园,上海市,上海市,宝山区,宝山区博园路 7001 号,4A 级景区,TRUE,TRUE,nature,semi-known,low-social,highly-structured,FALSE
44,上海闻道园,上海市,上海市,宝山区,宝山区潘泾路 2888 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
45,上海江南三民文化村景区,上海市,上海市,崇明区,崇明区林风公路 2201 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
46,上海国际时尚中心,上海市,上海市,杨浦区,杨浦区杨树浦路 2866 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
47,上海召稼楼景区,上海市,上海市,闵行区,闵行区浦江镇沈杜公路（近苏召路）,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
48,上海玻璃博物馆,上海市,上海市,宝山区,宝山区长江西路 685 号,4A 级景区,TRUE,FALSE,history_culture,semi-known,low-social,highly-structured,FALSE
49,上海国际赛车场旅游景区,上海市,上海市,嘉定区,嘉定区伊宁路 2199 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
50,上海杜莎夫人蜡像馆,上海市,上海市,黄浦区,黄浦区南京西路 2-68 号新世界十楼,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
51,陈云故里·练塘古镇景区,上海市,上海市,青浦区,青浦区朱枫公路 3516 号,4A 级景区,TRUE,FALSE,urban_walk,semi-known,mixed,highly-structured,FALSE
52,上海市龙华烈士陵园,上海市,上海市,徐汇区,徐汇区龙华西路 180 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
53,上海影视乐园,上海市,上海市,松江区,松江区车墩镇北松公路 4915 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
54,上海薰衣草公园,上海市,上海市,浦东新区,浦东新区申迪东路 399 弄 187 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
55,上海联怡枇杷乐园,上海市,上海市,青浦区,青浦区外青松公路 7166 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
56,上海金山嘴渔村,上海市,上海市,金山区,金山区沪杭公路 6394 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
57,上海北外滩国客中心景区,上海市,上海市,虹口区,虹口区东大名路 500 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
58,上海东滩湿地公园,上海市,上海市,崇明区,崇明区陈家镇东旺路（风车处）,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
59,上海之巅观光厅,上海市,上海市,浦东新区,浦东新区银城中路 501 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
60,上海长兴岛郊野公园,上海市,上海市,崇明区,崇明区长兴镇秋柑路 666 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
61,比斯特上海购物村景区,上海市,上海市,浦东新区,浦东新区申迪东路 88 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
62,上海浦江郊野公园景区,上海市,上海市,闵行区,闵行区浦星公路 2578 弄 8 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
63,上海张马景区,上海市,上海市,青浦区,青浦区朱家角镇沈太路 2119 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
64,上海海昌海洋公园,上海市,上海市,浦东新区,浦东新区南汇新城镇银飞路 166 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
65,上海闵行文化公园,上海市,上海市,闵行区,闵行区七宝镇吴中路 2019 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
66,上海七宝古镇,上海市,上海市,闵行区,闵行区七宝镇横沥路 108 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
67,上海广富林文化遗址,上海市,上海市,松江区,松江区广富林路 3206 弄,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
68,上海醉白池公园,上海市,上海市,松江区,松江区人民南路 64 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
69,上海高家庄生态园,上海市,上海市,崇明区,崇明区港东公路 999 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
70,上海廊下郊野公园景区,上海市,上海市,金山区,金山区漕廊公路 9133 号、廊下镇山塘村 1092 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
71,上海蓝精灵乐园,上海市,上海市,松江区,松江区辰花路 5088 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
72,上海犹太难民纪念馆,上海市,上海市,虹口区,虹口区长阳路 62 号,4A 级景区,TRUE,FALSE,history_culture,semi-known,low-social,highly-structured,FALSE
73,上海笔墨宫坊景区,上海市,上海市,杨浦区,杨浦区军工路 1300 号合生茶岸文创园 16 幢,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
74,上海花开海上生态园,上海市,上海市,金山区,金山区朱泾镇待泾村秀泾 6060 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
75,上海云堡未来市艺术文创景区,上海市,上海市,松江区,松江区洞泾镇王家厍路 885 弄,4A 级景区,TRUE,FALSE,art_design,semi-known,mixed,highly-structured,FALSE
76,上海金泽古镇景区,上海市,上海市,青浦区,青浦区金泽镇迎祥街 33 号（金泽古镇游客中心）,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
77,中国太平洋保险公司（亚西亚大楼、上海银行）,上海市,上海市,黄浦区,中山东一路1号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
78,东风饭店（上海总会）,上海市,上海市,黄浦区,中山东一路2号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
79,浦东发展银行（汇丰银行大楼）,上海市,上海市,黄浦区,中山东一路10-12号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
80,上海海关（江海关）,上海市,上海市,黄浦区,中山东一路13号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
81,和平饭店南楼（汇中饭店）,上海市,上海市,黄浦区,中山东一路19号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
82,和平饭店北楼（沙逊大厦）,上海市,上海市,黄浦区,中山东一路20号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
83,中国银行上海分行,上海市,上海市,黄浦区,中山东一路23号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
84,市对外贸易局（怡和银行）,上海市,上海市,黄浦区,中山东一路27号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
85,光大银行（东方汇理银行）,上海市,上海市,黄浦区,中山东一路29号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
86,大世界游乐场,上海市,上海市,黄浦区,西藏南路1号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
87,青年会宾馆（八仙桥基督教青年会）,上海市,上海市,黄浦区,西藏南路123号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
88,上海音乐厅（南京大戏院）,上海市,上海市,黄浦区,延安东路523号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
89,国际饭店（四行储蓄会大楼）,上海市,上海市,黄浦区,南京西路170号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
90,上海市体育总会、市体委（西桥青年会）,上海市,上海市,黄浦区,南京西路150号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
91,金门大酒店（华安人寿保险公司）,上海市,上海市,黄浦区,南京西路104号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
92,大光明电影院（大光明大戏院）,上海市,上海市,黄浦区,南京西路216号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
93,上海美术馆（跑马总会）,上海市,上海市,黄浦区,南京西路325号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
94,沐恩堂（基督教慕尔堂）,上海市,上海市,黄浦区,西藏中路316号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
95,华侨商店、华联商厦（老、新永安公司）,上海市,上海市,黄浦区,南京东路627-635号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
96,时装公司、东亚饭店（先施公司）,上海市,上海市,黄浦区,南京东路690号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
97,第一食品商店（新新公司）,上海市,上海市,黄浦区,南京东路720号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
98,第一百货商店（大新公司）,上海市,上海市,黄浦区,南京东路830号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
99,大上海电影院（大上海大戏院）,上海市,上海市,黄浦区,西藏中路520号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
100,老市政府大楼（公共租界工部局）,上海市,上海市,黄浦区,江西中路215、209号；汉口路193、223、239号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
101,黄浦区政府礼堂（圣三一基督教堂）,上海市,上海市,黄浦区,九江路201号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
102,交通银行（金城银行）,上海市,上海市,黄浦区,江西中路200号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
103,董家渡天主堂,上海市,上海市,黄浦区,董家渡路175号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
104,步高里,上海市,上海市,黄浦区,陕西南路287号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
105,瑞金宾馆1号楼（瑞金二路住宅）,上海市,上海市,黄浦区,瑞金二路18号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
106,尚贤坊,上海市,上海市,黄浦区,淮海中路50号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
107,锦江宾馆北楼（华懋公寓）,上海市,上海市,黄浦区,长乐路109号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
108,锦江宾馆中、西楼（峻岭公寓、茂名公寓）,上海市,上海市,黄浦区,茂名南路65-125号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
109,美琪大戏院,上海市,上海市,静安区,江宁路66号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
110,华业大楼（华业公寓）,上海市,上海市,静安区,陕西北路175号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
111,涌泉坊,上海市,上海市,静安区,愚园路395弄1-24号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
112,裕华新村,上海市,上海市,静安区,富民路182弄1-32,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
113,市少年宫（嘉道理爵士住宅）,上海市,上海市,静安区,延安西路64号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
114,华东医院南楼（宏恩医院）,上海市,上海市,静安区,延安西路221号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
115,团市委、宾馆（马勒住宅）,上海市,上海市,静安区,陕西南路30号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
116,徐家汇天主堂,上海市,上海市,徐汇区,徐家汇浦西路158号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
117,国际礼拜堂,上海市,上海市,徐汇区,衡山路58号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
118,工艺美术研究所（汾阳路79号住宅）,上海市,上海市,徐汇区,汾阳路79号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
119,日本领事馆（盛宣怀住宅）,上海市,上海市,徐汇区,淮海中路1517号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
120,上海海关招待所（汾阳路45号）,上海市,上海市,徐汇区,汾阳路45号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
121,新康花园,上海市,上海市,徐汇区,淮海中路1273号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
122,湖南街道办事处（修道院公寓）,上海市,上海市,徐汇区,复兴西路62号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
123,上海大厦（百老会大厦）,上海市,上海市,虹口区,北苏州河路2号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
124,上海市邮政局（上海邮政总局）,上海市,上海市,虹口区,北苏州河路250-276号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
125,俄罗斯领事馆（俄罗斯领事馆/苏联领事馆）,上海市,上海市,虹口区,黄浦路20号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
126,住宅（多伦路250号住宅）,上海市,上海市,虹口区,多伦路250号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
127,体育学院办公楼（旧上海特别市政府）,上海市,上海市,杨浦区,清源环路650号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
128,江湾体育场（上海市体育场）,上海市,上海市,杨浦区,国和路346号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
129,杨树浦自来水之水有限公司（杨树浦水厂）,上海市,上海市,杨浦区,杨树浦路830号（许昌路口）,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
130,西郊宾馆4号楼（淮阴路姚氏住宅）,上海市,上海市,长宁区,淮阴路200号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
131,龙柏饭店（沙逊别墅）,上海市,上海市,长宁区,虹桥路2409号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
132,上海生物制品研究所办公楼（孙科住宅）,上海市,上海市,长宁区,延安西路1262号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
133,海南置地上海公司（虹桥路2310号住宅）,上海市,上海市,长宁区,虹桥路2310号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
134,住宅（泰安路115弄花园里弄住宅）,上海市,上海市,长宁区,泰安路115弄1-8号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
135,兴国宾馆1号楼（兴国路住宅）,上海市,上海市,长宁区,兴国路72号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
136,长宁区少年宫（王伯群住宅）,上海市,上海市,长宁区,愚园路1136弄31号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
137,佘山天主教堂,上海市,上海市,松江区,松江县佘山,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
138,住总公司机电设计院（法国邮船大楼）,上海市,上海市,黄浦区,中山东二路9号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
139,上海建筑设计研究院（有利银行）,上海市,上海市,黄浦区,中山东一路4号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
140,华夏银行（中国通商银行）,上海市,上海市,黄浦区,中山东一路6号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
141,盘谷银行上海分行（大北电报局）,上海市,上海市,黄浦区,中山东一路7号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
142,中国外汇交易中心（华俄道胜银行）,上海市,上海市,黄浦区,中山东一路15号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
143,工艺品进出口公司（台湾银行）,上海市,上海市,黄浦区,中山东一路16号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
144,丝绸进出口公司、上海通联实业总公司（字林西报大楼）,上海市,上海市,黄浦区,中山东一路17号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
145,上海家用纺织品进出口公司（麦加利银行）,上海市,上海市,黄浦区,中山东一路18号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
146,工商银行、纺织控股集团公司（横滨正金银行）,上海市,上海市,黄浦区,中山东一路24号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
147,市机管局（英国领事馆）,上海市,上海市,黄浦区,中山东一路33号1#楼、中山东一路33号8#楼,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
148,外滩史陈列室（外滩信号台）,上海市,上海市,黄浦区,中山东二路,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
149,外白渡桥,上海市,上海市,黄浦区,外白渡桥,优秀历史建筑,TRUE,TRUE,history_culture,semi-known,low-social,free-flow,FALSE
150,乍浦路桥,上海市,上海市,黄浦区,乍浦路,优秀历史建筑,TRUE,TRUE,history_culture,semi-known,low-social,free-flow,FALSE
151,四川路桥,上海市,上海市,黄浦区,四川中路,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
152,上海广播电视台（格林邮船大楼）,上海市,上海市,黄浦区,北京东路2号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
153,海运服务公司（洋行）,上海市,上海市,黄浦区,滇池路100号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
154,电视社杂志社（洋行）,上海市,上海市,黄浦区,滇池路120号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
155,圆明园酒家（洋行）,上海市,上海市,黄浦区,北京东路81号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
156,黄浦税务局（国华银行大楼）,上海市,上海市,黄浦区,北京东路342号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
157,市文体进出口公司（广学大楼）,上海市,上海市,黄浦区,虎丘路128号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
158,外贸会堂（光陆大戏院）,上海市,上海市,黄浦区,虎丘路146号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
159,爱建公司（银行公会大楼）,上海市,上海市,黄浦区,香港路59号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
160,上海广告公司（洋行）,上海市,上海市,黄浦区,圆明园路97号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
161,市政设计院（女青年会大楼）,上海市,上海市,黄浦区,圆明园路133号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
162,真光大楼,上海市,上海市,黄浦区,圆明园路209号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
163,嘉陵大楼（迦陵大楼）,上海市,上海市,黄浦区,南京东路99号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
164,东海商都（慈淑大楼）,上海市,上海市,黄浦区,南京东路353号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
165,仁济医院（麦家圈医院）,上海市,上海市,黄浦区,山东中路145号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
166,机要局（正广和公司）,上海市,上海市,黄浦区,福州路44号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
167,上海市公安局（总巡捕房）,上海市,上海市,黄浦区,福州路185号,优秀历史建筑,TRUE,FALSE,history_culture,semi-known,low-social,free-flow,FALSE
